405104,572998,181999                                                     
71364,510148,9869                                                     
22647,108918,11112                                                     
16453,102132,10477                                                     
6157,104616,10648                                                     
9377,106209,10799                                                     
4875,105209,10491                                                     
5057,104854,10527                                                     
6509,662037,9183                                                     
2090,1266938,20061                                                                                                        
418115,545833,182932                                                     
57207,524760,10479                                                     
22604,98035,9811                                                     
8177,101406,10532                                                     
16080,97249,9522                                                     
12319,101657,10084                                                     
9731,96931,9833                                                     
15060,97623,9440                                                     
6570,101281,10085                                                     
6510,1131898,22330                                                                                                       
396623,612840,181201                                                     
48704,529112,10437                                                     
15924,109145,11456                                                     
11835,101050,10113                                                     
5677,103831,10507                                                     
6661,104163,10546                                                     
5385,104184,10491                                                     
4736,104021,10468                                                     
5907,805316,7939                                                     
2234,1258295,20036                                                                                                          
486883,546572,181691                                                     
24720,511928,13090                                                     
18619,196628,12580                                                     
16540,100872,9997                                                     
15817,99199,10227                                                     
8998,104753,10736                                                     
5685,105422,10577                                                     
4640,104457,10551                                                     
3593,312287,9095                                                     
4022,1336463,22933                                                                                                                                
418796,584829,180989                                                     
58687,503664,9896                                                     
17152,110286,11514                                                     
9010,102307,10269                                                  
23351,96493,9634                                                     
8104,102497,10337                                                     
6007,100133,10151                                                     
4148,101037,10070                                                     
4801,191825,9507                                             
3992,1370720,22548                                                                                    
471615,487581,179869                                                     
18443,554103,10384                                                     
19298,196929,11329                                               
17441,93063,9149                                                     
10821,94196,9327                                              
6554,99431,9894                                                     
6285,98599,9846                                                     
5222,98215,9767                                                     
3250,97548,9695                                                     
5280,828545,7638                                                                                                                             
402898,571457,181631                                                    
91989,529888,14573                                                     
28091,99334,10292                                                     
23130,99621,10163                                                     
12669,99356,10162                                                     
10197,104301,11144                                                    
14276,98019,9711                                                     
5527,103323,10582                                                     
12084,102437,10208                                                  
5677,1325039,20756                                                                                                        
437267,598675,180701                                                     
46932,521031,9095                                                     
19580,138835,12333                                                     
24865,100283,9599                                                     
20109,95881,9342                                                     
11275,101951,10283                                                     
16844,100876,9606                                                     
6794,106239,10642                                                     
16853,101570,9843                                                     
4720,1237643,21776                                                                                        
401328,563665,181761                                                     
62347,490306,10154                                                     
21990,110435,11283                                                    
15365,99255,10053                                                     
6019,106096,10754                                                    
6028,106971,10828                                                     
4378,107258,10649                                                     
4415,106720,10573                                                     
4964,689612,9104                                                     
2825,1271935,19949                                                                                                                                  
463059,514150,181779                                                     
71854,525875,9817                                                     
29924,165164,10510                                                     
20563,99901,10224                                                     
7669,106700,10985                                                     
22402,98033,9700                                                    
15965,98729,9615                                                     
7461,105623,10793                                                     
19631,102735,10058                                                    
5307,1094622,22695                                                                                                                                                                                                                                                                                                    
