644423,386161,204325
930214,519629,205078
589028,434984,363843
463764,672856,267436
395269,475559,145318
439498,449138,185552
308991,571726,156053
129988,591537,215328
162484,104743,43927
122319,111575,48346
264902,120994,70708
469746,248075,07213
701247,387817,195334
650674,474749,331235
456992,640195,269176
364524,451264,134470
440489,408664,181452
354135,518699,143090
149247,731401,240290
178796,164393,71922
339036,150852,85834
604166,325578,145870
629648,334622,171862
640310,456512,334917
457330,657324,271401
421755,453813,138111
427966,410990,190212
395617,467475,120721
168004,819314,265671
157102,142363,63255
458789,219314,119820
868339,428324,164262
579233,421471,327384
506780,643496,287556
410056,527664,181047
441996,377079,191714
388910,528754,140342
153186,816671,273197
145279,99532,50911
166378,134662,58392
