447319,250533,142126
504218,269041,190903
614072,266640,225747
668080,267957,232834
598959,284063,221010
649635,289038,248651
600759,288165,248092
557646,299015,249726
552390,281011,259762
586289,306390,262586
511646,294259,165844
553280,272174,200155
562235,257468,188689
586527,224923,205662
668176,291757,237547
638704,274921,234027
533394,254666,218369
560994,288312,241145
542588,281154,253240
551294,267362,230985
502500,277426,165838
548504,269745,201453
541733,244630,194362
570500,221679,208391
649518,288674,240741
635699,271813,240149
536360,256875,225372
549741,284060,244150
525896,276044,257511
540817,266417,229259
506568,275476,163943
525620,254583,182008
533294,238858,182492
578292,215520,191084
656641,292156,243901
675159,275885,233660
477970,230839,200863
554543,290901,238602
492252,282887,243523
518661,249310,220003
476305,266553,142183
501591,271987,191940
629913,269319,219744
661945,259757,229453
607807,280099,221873
643997,280432,247518
612021,287835,247923
550198,296247,248863
530662,279447,254900
589317,308231,265430
481252,258212,159547
456338,239894,168106
616014,260052,222710
731601,274038,267219
559274,259885,198080
650202,275963,254034
614463,281610,249957
548156,291890,251696
532782,276544,255119
583320,303472,262843
499524,292877,162112
566252,259267,204809
553838,245268,198206
561092,212191,200182
654935,280635,237507
643341,267975,238467
544790,251615,212155
540971,279723,240504
540881,273438,256398
557256,265546,233021
433736,246931,141153
568433,286925,200206
524819,230140,186005
535126,207613,177972
645511,288877,241586
582116,232218,181740
457057,239093,188665
573659,279065,241274
517149,282499,232058
521075,275866,230647
488978,271497,160628
476937,247739,168071
627797,258837,226167
732745,269926,252359
567004,252041,203164
650606,268578,244030
615559,276562,244209
550137,284773,246960
543614,271700,251910
565271,282942,251097
488876,272952,152227
486995,258568,189504
617760,261605,222906
712212,276517,245811
587830,276389,218614
640303,286244,248790
591914,287652,250427
549768,294217,245662
550023,279051,254935
555369,299969,252649
